;Absolute path;Relative path;Class
0;D:\Programming\AP_Lab2\dataset\bay horse0000.jpg;dataset\bay horse0000.jpg;Bay horse
1;D:\Programming\AP_Lab2\dataset\bay horse0001.jpg;dataset\bay horse0001.jpg;Bay horse
2;D:\Programming\AP_Lab2\dataset\bay horse0002.jpg;dataset\bay horse0002.jpg;Bay horse
3;D:\Programming\AP_Lab2\dataset\bay horse0003.jpg;dataset\bay horse0003.jpg;Bay horse
4;D:\Programming\AP_Lab2\dataset\bay horse0004.jpg;dataset\bay horse0004.jpg;Bay horse
5;D:\Programming\AP_Lab2\dataset\bay horse0005.jpg;dataset\bay horse0005.jpg;Bay horse
6;D:\Programming\AP_Lab2\dataset\bay horse0006.jpg;dataset\bay horse0006.jpg;Bay horse
7;D:\Programming\AP_Lab2\dataset\bay horse0007.jpg;dataset\bay horse0007.jpg;Bay horse
8;D:\Programming\AP_Lab2\dataset\bay horse0008.jpg;dataset\bay horse0008.jpg;Bay horse
9;D:\Programming\AP_Lab2\dataset\bay horse0009.jpg;dataset\bay horse0009.jpg;Bay horse
10;D:\Programming\AP_Lab2\dataset\bay horse0010.jpg;dataset\bay horse0010.jpg;Bay horse
11;D:\Programming\AP_Lab2\dataset\bay horse0011.jpg;dataset\bay horse0011.jpg;Bay horse
12;D:\Programming\AP_Lab2\dataset\bay horse0012.jpg;dataset\bay horse0012.jpg;Bay horse
13;D:\Programming\AP_Lab2\dataset\bay horse0013.jpg;dataset\bay horse0013.jpg;Bay horse
14;D:\Programming\AP_Lab2\dataset\bay horse0014.jpg;dataset\bay horse0014.jpg;Bay horse
15;D:\Programming\AP_Lab2\dataset\bay horse0015.jpg;dataset\bay horse0015.jpg;Bay horse
16;D:\Programming\AP_Lab2\dataset\bay horse0016.jpg;dataset\bay horse0016.jpg;Bay horse
17;D:\Programming\AP_Lab2\dataset\bay horse0017.jpg;dataset\bay horse0017.jpg;Bay horse
18;D:\Programming\AP_Lab2\dataset\bay horse0018.jpg;dataset\bay horse0018.jpg;Bay horse
19;D:\Programming\AP_Lab2\dataset\bay horse0019.jpg;dataset\bay horse0019.jpg;Bay horse
20;D:\Programming\AP_Lab2\dataset\bay horse0020.jpg;dataset\bay horse0020.jpg;Bay horse
21;D:\Programming\AP_Lab2\dataset\bay horse0021.jpg;dataset\bay horse0021.jpg;Bay horse
22;D:\Programming\AP_Lab2\dataset\bay horse0022.jpg;dataset\bay horse0022.jpg;Bay horse
23;D:\Programming\AP_Lab2\dataset\bay horse0023.jpg;dataset\bay horse0023.jpg;Bay horse
24;D:\Programming\AP_Lab2\dataset\bay horse0024.jpg;dataset\bay horse0024.jpg;Bay horse
25;D:\Programming\AP_Lab2\dataset\bay horse0025.jpg;dataset\bay horse0025.jpg;Bay horse
26;D:\Programming\AP_Lab2\dataset\bay horse0026.jpg;dataset\bay horse0026.jpg;Bay horse
27;D:\Programming\AP_Lab2\dataset\bay horse0027.jpg;dataset\bay horse0027.jpg;Bay horse
28;D:\Programming\AP_Lab2\dataset\bay horse0028.jpg;dataset\bay horse0028.jpg;Bay horse
29;D:\Programming\AP_Lab2\dataset\bay horse0029.jpg;dataset\bay horse0029.jpg;Bay horse
30;D:\Programming\AP_Lab2\dataset\bay horse0030.jpg;dataset\bay horse0030.jpg;Bay horse
31;D:\Programming\AP_Lab2\dataset\bay horse0031.jpg;dataset\bay horse0031.jpg;Bay horse
32;D:\Programming\AP_Lab2\dataset\bay horse0032.jpg;dataset\bay horse0032.jpg;Bay horse
33;D:\Programming\AP_Lab2\dataset\bay horse0033.jpg;dataset\bay horse0033.jpg;Bay horse
34;D:\Programming\AP_Lab2\dataset\bay horse0034.jpg;dataset\bay horse0034.jpg;Bay horse
35;D:\Programming\AP_Lab2\dataset\bay horse0035.jpg;dataset\bay horse0035.jpg;Bay horse
36;D:\Programming\AP_Lab2\dataset\bay horse0036.jpg;dataset\bay horse0036.jpg;Bay horse
37;D:\Programming\AP_Lab2\dataset\bay horse0037.jpg;dataset\bay horse0037.jpg;Bay horse
38;D:\Programming\AP_Lab2\dataset\bay horse0038.jpg;dataset\bay horse0038.jpg;Bay horse
39;D:\Programming\AP_Lab2\dataset\bay horse0039.jpg;dataset\bay horse0039.jpg;Bay horse
40;D:\Programming\AP_Lab2\dataset\bay horse0040.jpg;dataset\bay horse0040.jpg;Bay horse
41;D:\Programming\AP_Lab2\dataset\bay horse0041.jpg;dataset\bay horse0041.jpg;Bay horse
42;D:\Programming\AP_Lab2\dataset\bay horse0042.jpg;dataset\bay horse0042.jpg;Bay horse
43;D:\Programming\AP_Lab2\dataset\bay horse0043.jpg;dataset\bay horse0043.jpg;Bay horse
44;D:\Programming\AP_Lab2\dataset\bay horse0044.jpg;dataset\bay horse0044.jpg;Bay horse
45;D:\Programming\AP_Lab2\dataset\bay horse0045.jpg;dataset\bay horse0045.jpg;Bay horse
46;D:\Programming\AP_Lab2\dataset\bay horse0046.jpg;dataset\bay horse0046.jpg;Bay horse
47;D:\Programming\AP_Lab2\dataset\bay horse0047.jpg;dataset\bay horse0047.jpg;Bay horse
48;D:\Programming\AP_Lab2\dataset\bay horse0048.jpg;dataset\bay horse0048.jpg;Bay horse
49;D:\Programming\AP_Lab2\dataset\bay horse0049.jpg;dataset\bay horse0049.jpg;Bay horse
50;D:\Programming\AP_Lab2\dataset\bay horse0050.jpg;dataset\bay horse0050.jpg;Bay horse
51;D:\Programming\AP_Lab2\dataset\bay horse0051.jpg;dataset\bay horse0051.jpg;Bay horse
52;D:\Programming\AP_Lab2\dataset\bay horse0052.jpg;dataset\bay horse0052.jpg;Bay horse
53;D:\Programming\AP_Lab2\dataset\bay horse0053.jpg;dataset\bay horse0053.jpg;Bay horse
54;D:\Programming\AP_Lab2\dataset\bay horse0054.jpg;dataset\bay horse0054.jpg;Bay horse
55;D:\Programming\AP_Lab2\dataset\bay horse0055.jpg;dataset\bay horse0055.jpg;Bay horse
56;D:\Programming\AP_Lab2\dataset\bay horse0056.jpg;dataset\bay horse0056.jpg;Bay horse
57;D:\Programming\AP_Lab2\dataset\bay horse0057.jpg;dataset\bay horse0057.jpg;Bay horse
58;D:\Programming\AP_Lab2\dataset\bay horse0058.jpg;dataset\bay horse0058.jpg;Bay horse
59;D:\Programming\AP_Lab2\dataset\bay horse0059.jpg;dataset\bay horse0059.jpg;Bay horse
60;D:\Programming\AP_Lab2\dataset\bay horse0060.jpg;dataset\bay horse0060.jpg;Bay horse
61;D:\Programming\AP_Lab2\dataset\bay horse0061.jpg;dataset\bay horse0061.jpg;Bay horse
62;D:\Programming\AP_Lab2\dataset\bay horse0062.jpg;dataset\bay horse0062.jpg;Bay horse
63;D:\Programming\AP_Lab2\dataset\bay horse0063.jpg;dataset\bay horse0063.jpg;Bay horse
64;D:\Programming\AP_Lab2\dataset\bay horse0064.jpg;dataset\bay horse0064.jpg;Bay horse
65;D:\Programming\AP_Lab2\dataset\bay horse0065.jpg;dataset\bay horse0065.jpg;Bay horse
66;D:\Programming\AP_Lab2\dataset\bay horse0066.jpg;dataset\bay horse0066.jpg;Bay horse
67;D:\Programming\AP_Lab2\dataset\bay horse0067.jpg;dataset\bay horse0067.jpg;Bay horse
68;D:\Programming\AP_Lab2\dataset\bay horse0068.jpg;dataset\bay horse0068.jpg;Bay horse
69;D:\Programming\AP_Lab2\dataset\bay horse0069.jpg;dataset\bay horse0069.jpg;Bay horse
70;D:\Programming\AP_Lab2\dataset\bay horse0070.jpg;dataset\bay horse0070.jpg;Bay horse
71;D:\Programming\AP_Lab2\dataset\bay horse0071.jpg;dataset\bay horse0071.jpg;Bay horse
72;D:\Programming\AP_Lab2\dataset\bay horse0072.jpg;dataset\bay horse0072.jpg;Bay horse
73;D:\Programming\AP_Lab2\dataset\bay horse0073.jpg;dataset\bay horse0073.jpg;Bay horse
74;D:\Programming\AP_Lab2\dataset\bay horse0074.jpg;dataset\bay horse0074.jpg;Bay horse
75;D:\Programming\AP_Lab2\dataset\bay horse0075.jpg;dataset\bay horse0075.jpg;Bay horse
76;D:\Programming\AP_Lab2\dataset\bay horse0076.jpg;dataset\bay horse0076.jpg;Bay horse
77;D:\Programming\AP_Lab2\dataset\bay horse0077.jpg;dataset\bay horse0077.jpg;Bay horse
78;D:\Programming\AP_Lab2\dataset\bay horse0078.jpg;dataset\bay horse0078.jpg;Bay horse
79;D:\Programming\AP_Lab2\dataset\bay horse0079.jpg;dataset\bay horse0079.jpg;Bay horse
80;D:\Programming\AP_Lab2\dataset\bay horse0080.jpg;dataset\bay horse0080.jpg;Bay horse
81;D:\Programming\AP_Lab2\dataset\bay horse0081.jpg;dataset\bay horse0081.jpg;Bay horse
82;D:\Programming\AP_Lab2\dataset\bay horse0082.jpg;dataset\bay horse0082.jpg;Bay horse
83;D:\Programming\AP_Lab2\dataset\bay horse0083.jpg;dataset\bay horse0083.jpg;Bay horse
84;D:\Programming\AP_Lab2\dataset\bay horse0084.jpg;dataset\bay horse0084.jpg;Bay horse
85;D:\Programming\AP_Lab2\dataset\bay horse0085.jpg;dataset\bay horse0085.jpg;Bay horse
86;D:\Programming\AP_Lab2\dataset\bay horse0086.jpg;dataset\bay horse0086.jpg;Bay horse
87;D:\Programming\AP_Lab2\dataset\bay horse0087.jpg;dataset\bay horse0087.jpg;Bay horse
88;D:\Programming\AP_Lab2\dataset\bay horse0088.jpg;dataset\bay horse0088.jpg;Bay horse
89;D:\Programming\AP_Lab2\dataset\bay horse0089.jpg;dataset\bay horse0089.jpg;Bay horse
90;D:\Programming\AP_Lab2\dataset\bay horse0090.jpg;dataset\bay horse0090.jpg;Bay horse
91;D:\Programming\AP_Lab2\dataset\bay horse0091.jpg;dataset\bay horse0091.jpg;Bay horse
92;D:\Programming\AP_Lab2\dataset\bay horse0092.jpg;dataset\bay horse0092.jpg;Bay horse
93;D:\Programming\AP_Lab2\dataset\bay horse0093.jpg;dataset\bay horse0093.jpg;Bay horse
94;D:\Programming\AP_Lab2\dataset\bay horse0094.jpg;dataset\bay horse0094.jpg;Bay horse
95;D:\Programming\AP_Lab2\dataset\bay horse0095.jpg;dataset\bay horse0095.jpg;Bay horse
96;D:\Programming\AP_Lab2\dataset\bay horse0096.jpg;dataset\bay horse0096.jpg;Bay horse
97;D:\Programming\AP_Lab2\dataset\bay horse0097.jpg;dataset\bay horse0097.jpg;Bay horse
98;D:\Programming\AP_Lab2\dataset\bay horse0098.jpg;dataset\bay horse0098.jpg;Bay horse
99;D:\Programming\AP_Lab2\dataset\bay horse0099.jpg;dataset\bay horse0099.jpg;Bay horse
100;D:\Programming\AP_Lab2\dataset\bay horse0100.jpg;dataset\bay horse0100.jpg;Bay horse
101;D:\Programming\AP_Lab2\dataset\bay horse0101.jpg;dataset\bay horse0101.jpg;Bay horse
102;D:\Programming\AP_Lab2\dataset\bay horse0102.jpg;dataset\bay horse0102.jpg;Bay horse
103;D:\Programming\AP_Lab2\dataset\bay horse0103.jpg;dataset\bay horse0103.jpg;Bay horse
104;D:\Programming\AP_Lab2\dataset\bay horse0104.jpg;dataset\bay horse0104.jpg;Bay horse
105;D:\Programming\AP_Lab2\dataset\bay horse0105.jpg;dataset\bay horse0105.jpg;Bay horse
106;D:\Programming\AP_Lab2\dataset\bay horse0106.jpg;dataset\bay horse0106.jpg;Bay horse
107;D:\Programming\AP_Lab2\dataset\bay horse0107.jpg;dataset\bay horse0107.jpg;Bay horse
108;D:\Programming\AP_Lab2\dataset\bay horse0108.jpg;dataset\bay horse0108.jpg;Bay horse
109;D:\Programming\AP_Lab2\dataset\bay horse0109.jpg;dataset\bay horse0109.jpg;Bay horse
110;D:\Programming\AP_Lab2\dataset\bay horse0110.jpg;dataset\bay horse0110.jpg;Bay horse
111;D:\Programming\AP_Lab2\dataset\bay horse0111.jpg;dataset\bay horse0111.jpg;Bay horse
112;D:\Programming\AP_Lab2\dataset\bay horse0112.jpg;dataset\bay horse0112.jpg;Bay horse
113;D:\Programming\AP_Lab2\dataset\bay horse0113.jpg;dataset\bay horse0113.jpg;Bay horse
114;D:\Programming\AP_Lab2\dataset\bay horse0114.jpg;dataset\bay horse0114.jpg;Bay horse
115;D:\Programming\AP_Lab2\dataset\bay horse0115.jpg;dataset\bay horse0115.jpg;Bay horse
116;D:\Programming\AP_Lab2\dataset\bay horse0116.jpg;dataset\bay horse0116.jpg;Bay horse
117;D:\Programming\AP_Lab2\dataset\bay horse0117.jpg;dataset\bay horse0117.jpg;Bay horse
118;D:\Programming\AP_Lab2\dataset\bay horse0118.jpg;dataset\bay horse0118.jpg;Bay horse
119;D:\Programming\AP_Lab2\dataset\bay horse0119.jpg;dataset\bay horse0119.jpg;Bay horse
120;D:\Programming\AP_Lab2\dataset\bay horse0120.jpg;dataset\bay horse0120.jpg;Bay horse
121;D:\Programming\AP_Lab2\dataset\bay horse0121.jpg;dataset\bay horse0121.jpg;Bay horse
122;D:\Programming\AP_Lab2\dataset\bay horse0122.jpg;dataset\bay horse0122.jpg;Bay horse
123;D:\Programming\AP_Lab2\dataset\bay horse0123.jpg;dataset\bay horse0123.jpg;Bay horse
124;D:\Programming\AP_Lab2\dataset\bay horse0124.jpg;dataset\bay horse0124.jpg;Bay horse
125;D:\Programming\AP_Lab2\dataset\bay horse0125.jpg;dataset\bay horse0125.jpg;Bay horse
126;D:\Programming\AP_Lab2\dataset\bay horse0126.jpg;dataset\bay horse0126.jpg;Bay horse
127;D:\Programming\AP_Lab2\dataset\bay horse0127.jpg;dataset\bay horse0127.jpg;Bay horse
128;D:\Programming\AP_Lab2\dataset\bay horse0128.jpg;dataset\bay horse0128.jpg;Bay horse
129;D:\Programming\AP_Lab2\dataset\bay horse0129.jpg;dataset\bay horse0129.jpg;Bay horse
130;D:\Programming\AP_Lab2\dataset\bay horse0130.jpg;dataset\bay horse0130.jpg;Bay horse
131;D:\Programming\AP_Lab2\dataset\bay horse0131.jpg;dataset\bay horse0131.jpg;Bay horse
132;D:\Programming\AP_Lab2\dataset\bay horse0132.jpg;dataset\bay horse0132.jpg;Bay horse
133;D:\Programming\AP_Lab2\dataset\bay horse0133.jpg;dataset\bay horse0133.jpg;Bay horse
134;D:\Programming\AP_Lab2\dataset\bay horse0134.jpg;dataset\bay horse0134.jpg;Bay horse
135;D:\Programming\AP_Lab2\dataset\bay horse0135.jpg;dataset\bay horse0135.jpg;Bay horse
136;D:\Programming\AP_Lab2\dataset\bay horse0136.jpg;dataset\bay horse0136.jpg;Bay horse
137;D:\Programming\AP_Lab2\dataset\bay horse0137.jpg;dataset\bay horse0137.jpg;Bay horse
138;D:\Programming\AP_Lab2\dataset\bay horse0138.jpg;dataset\bay horse0138.jpg;Bay horse
139;D:\Programming\AP_Lab2\dataset\bay horse0139.jpg;dataset\bay horse0139.jpg;Bay horse
140;D:\Programming\AP_Lab2\dataset\bay horse0140.jpg;dataset\bay horse0140.jpg;Bay horse
141;D:\Programming\AP_Lab2\dataset\bay horse0141.jpg;dataset\bay horse0141.jpg;Bay horse
142;D:\Programming\AP_Lab2\dataset\bay horse0142.jpg;dataset\bay horse0142.jpg;Bay horse
143;D:\Programming\AP_Lab2\dataset\bay horse0143.jpg;dataset\bay horse0143.jpg;Bay horse
144;D:\Programming\AP_Lab2\dataset\bay horse0144.jpg;dataset\bay horse0144.jpg;Bay horse
145;D:\Programming\AP_Lab2\dataset\bay horse0145.jpg;dataset\bay horse0145.jpg;Bay horse
146;D:\Programming\AP_Lab2\dataset\bay horse0146.jpg;dataset\bay horse0146.jpg;Bay horse
147;D:\Programming\AP_Lab2\dataset\bay horse0147.jpg;dataset\bay horse0147.jpg;Bay horse
148;D:\Programming\AP_Lab2\dataset\bay horse0148.jpg;dataset\bay horse0148.jpg;Bay horse
149;D:\Programming\AP_Lab2\dataset\bay horse0149.jpg;dataset\bay horse0149.jpg;Bay horse
150;D:\Programming\AP_Lab2\dataset\bay horse0150.jpg;dataset\bay horse0150.jpg;Bay horse
151;D:\Programming\AP_Lab2\dataset\bay horse0151.jpg;dataset\bay horse0151.jpg;Bay horse
152;D:\Programming\AP_Lab2\dataset\bay horse0152.jpg;dataset\bay horse0152.jpg;Bay horse
153;D:\Programming\AP_Lab2\dataset\bay horse0153.jpg;dataset\bay horse0153.jpg;Bay horse
154;D:\Programming\AP_Lab2\dataset\bay horse0154.jpg;dataset\bay horse0154.jpg;Bay horse
155;D:\Programming\AP_Lab2\dataset\bay horse0155.jpg;dataset\bay horse0155.jpg;Bay horse
156;D:\Programming\AP_Lab2\dataset\bay horse0156.jpg;dataset\bay horse0156.jpg;Bay horse
157;D:\Programming\AP_Lab2\dataset\bay horse0157.jpg;dataset\bay horse0157.jpg;Bay horse
158;D:\Programming\AP_Lab2\dataset\bay horse0158.jpg;dataset\bay horse0158.jpg;Bay horse
159;D:\Programming\AP_Lab2\dataset\bay horse0159.jpg;dataset\bay horse0159.jpg;Bay horse
160;D:\Programming\AP_Lab2\dataset\bay horse0160.jpg;dataset\bay horse0160.jpg;Bay horse
161;D:\Programming\AP_Lab2\dataset\bay horse0161.jpg;dataset\bay horse0161.jpg;Bay horse
162;D:\Programming\AP_Lab2\dataset\bay horse0162.jpg;dataset\bay horse0162.jpg;Bay horse
163;D:\Programming\AP_Lab2\dataset\bay horse0163.jpg;dataset\bay horse0163.jpg;Bay horse
164;D:\Programming\AP_Lab2\dataset\bay horse0164.jpg;dataset\bay horse0164.jpg;Bay horse
165;D:\Programming\AP_Lab2\dataset\bay horse0165.jpg;dataset\bay horse0165.jpg;Bay horse
166;D:\Programming\AP_Lab2\dataset\bay horse0166.jpg;dataset\bay horse0166.jpg;Bay horse
167;D:\Programming\AP_Lab2\dataset\bay horse0167.jpg;dataset\bay horse0167.jpg;Bay horse
168;D:\Programming\AP_Lab2\dataset\bay horse0168.jpg;dataset\bay horse0168.jpg;Bay horse
169;D:\Programming\AP_Lab2\dataset\bay horse0169.jpg;dataset\bay horse0169.jpg;Bay horse
170;D:\Programming\AP_Lab2\dataset\bay horse0170.jpg;dataset\bay horse0170.jpg;Bay horse
171;D:\Programming\AP_Lab2\dataset\bay horse0171.jpg;dataset\bay horse0171.jpg;Bay horse
172;D:\Programming\AP_Lab2\dataset\bay horse0172.jpg;dataset\bay horse0172.jpg;Bay horse
173;D:\Programming\AP_Lab2\dataset\bay horse0173.jpg;dataset\bay horse0173.jpg;Bay horse
174;D:\Programming\AP_Lab2\dataset\bay horse0174.jpg;dataset\bay horse0174.jpg;Bay horse
175;D:\Programming\AP_Lab2\dataset\bay horse0175.jpg;dataset\bay horse0175.jpg;Bay horse
176;D:\Programming\AP_Lab2\dataset\bay horse0176.jpg;dataset\bay horse0176.jpg;Bay horse
177;D:\Programming\AP_Lab2\dataset\bay horse0177.jpg;dataset\bay horse0177.jpg;Bay horse
178;D:\Programming\AP_Lab2\dataset\bay horse0178.jpg;dataset\bay horse0178.jpg;Bay horse
179;D:\Programming\AP_Lab2\dataset\bay horse0179.jpg;dataset\bay horse0179.jpg;Bay horse
180;D:\Programming\AP_Lab2\dataset\bay horse0180.jpg;dataset\bay horse0180.jpg;Bay horse
181;D:\Programming\AP_Lab2\dataset\bay horse0181.jpg;dataset\bay horse0181.jpg;Bay horse
182;D:\Programming\AP_Lab2\dataset\bay horse0182.jpg;dataset\bay horse0182.jpg;Bay horse
183;D:\Programming\AP_Lab2\dataset\bay horse0183.jpg;dataset\bay horse0183.jpg;Bay horse
184;D:\Programming\AP_Lab2\dataset\bay horse0184.jpg;dataset\bay horse0184.jpg;Bay horse
185;D:\Programming\AP_Lab2\dataset\bay horse0185.jpg;dataset\bay horse0185.jpg;Bay horse
186;D:\Programming\AP_Lab2\dataset\bay horse0186.jpg;dataset\bay horse0186.jpg;Bay horse
187;D:\Programming\AP_Lab2\dataset\bay horse0187.jpg;dataset\bay horse0187.jpg;Bay horse
188;D:\Programming\AP_Lab2\dataset\bay horse0188.jpg;dataset\bay horse0188.jpg;Bay horse
189;D:\Programming\AP_Lab2\dataset\bay horse0189.jpg;dataset\bay horse0189.jpg;Bay horse
190;D:\Programming\AP_Lab2\dataset\bay horse0190.jpg;dataset\bay horse0190.jpg;Bay horse
191;D:\Programming\AP_Lab2\dataset\bay horse0191.jpg;dataset\bay horse0191.jpg;Bay horse
192;D:\Programming\AP_Lab2\dataset\bay horse0192.jpg;dataset\bay horse0192.jpg;Bay horse
193;D:\Programming\AP_Lab2\dataset\bay horse0193.jpg;dataset\bay horse0193.jpg;Bay horse
194;D:\Programming\AP_Lab2\dataset\bay horse0194.jpg;dataset\bay horse0194.jpg;Bay horse
195;D:\Programming\AP_Lab2\dataset\bay horse0195.jpg;dataset\bay horse0195.jpg;Bay horse
196;D:\Programming\AP_Lab2\dataset\bay horse0196.jpg;dataset\bay horse0196.jpg;Bay horse
197;D:\Programming\AP_Lab2\dataset\bay horse0197.jpg;dataset\bay horse0197.jpg;Bay horse
198;D:\Programming\AP_Lab2\dataset\bay horse0198.jpg;dataset\bay horse0198.jpg;Bay horse
199;D:\Programming\AP_Lab2\dataset\bay horse0199.jpg;dataset\bay horse0199.jpg;Bay horse
200;D:\Programming\AP_Lab2\dataset\bay horse0200.jpg;dataset\bay horse0200.jpg;Bay horse
201;D:\Programming\AP_Lab2\dataset\bay horse0201.jpg;dataset\bay horse0201.jpg;Bay horse
202;D:\Programming\AP_Lab2\dataset\bay horse0202.jpg;dataset\bay horse0202.jpg;Bay horse
203;D:\Programming\AP_Lab2\dataset\bay horse0203.jpg;dataset\bay horse0203.jpg;Bay horse
204;D:\Programming\AP_Lab2\dataset\bay horse0204.jpg;dataset\bay horse0204.jpg;Bay horse
205;D:\Programming\AP_Lab2\dataset\bay horse0205.jpg;dataset\bay horse0205.jpg;Bay horse
206;D:\Programming\AP_Lab2\dataset\bay horse0206.jpg;dataset\bay horse0206.jpg;Bay horse
207;D:\Programming\AP_Lab2\dataset\bay horse0207.jpg;dataset\bay horse0207.jpg;Bay horse
208;D:\Programming\AP_Lab2\dataset\bay horse0208.jpg;dataset\bay horse0208.jpg;Bay horse
209;D:\Programming\AP_Lab2\dataset\bay horse0209.jpg;dataset\bay horse0209.jpg;Bay horse
210;D:\Programming\AP_Lab2\dataset\bay horse0210.jpg;dataset\bay horse0210.jpg;Bay horse
211;D:\Programming\AP_Lab2\dataset\bay horse0211.jpg;dataset\bay horse0211.jpg;Bay horse
212;D:\Programming\AP_Lab2\dataset\bay horse0212.jpg;dataset\bay horse0212.jpg;Bay horse
213;D:\Programming\AP_Lab2\dataset\bay horse0213.jpg;dataset\bay horse0213.jpg;Bay horse
214;D:\Programming\AP_Lab2\dataset\bay horse0214.jpg;dataset\bay horse0214.jpg;Bay horse
215;D:\Programming\AP_Lab2\dataset\bay horse0215.jpg;dataset\bay horse0215.jpg;Bay horse
216;D:\Programming\AP_Lab2\dataset\bay horse0216.jpg;dataset\bay horse0216.jpg;Bay horse
217;D:\Programming\AP_Lab2\dataset\bay horse0217.jpg;dataset\bay horse0217.jpg;Bay horse
218;D:\Programming\AP_Lab2\dataset\bay horse0218.jpg;dataset\bay horse0218.jpg;Bay horse
219;D:\Programming\AP_Lab2\dataset\bay horse0219.jpg;dataset\bay horse0219.jpg;Bay horse
220;D:\Programming\AP_Lab2\dataset\bay horse0220.jpg;dataset\bay horse0220.jpg;Bay horse
221;D:\Programming\AP_Lab2\dataset\bay horse0221.jpg;dataset\bay horse0221.jpg;Bay horse
222;D:\Programming\AP_Lab2\dataset\bay horse0222.jpg;dataset\bay horse0222.jpg;Bay horse
223;D:\Programming\AP_Lab2\dataset\bay horse0223.jpg;dataset\bay horse0223.jpg;Bay horse
224;D:\Programming\AP_Lab2\dataset\bay horse0224.jpg;dataset\bay horse0224.jpg;Bay horse
225;D:\Programming\AP_Lab2\dataset\bay horse0225.jpg;dataset\bay horse0225.jpg;Bay horse
226;D:\Programming\AP_Lab2\dataset\bay horse0226.jpg;dataset\bay horse0226.jpg;Bay horse
227;D:\Programming\AP_Lab2\dataset\bay horse0227.jpg;dataset\bay horse0227.jpg;Bay horse
